BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	4834	D	"BOTH INTERNATIONAL & INLAND  To be considered ""engaged in fishing"" under the Rules, a vessel must be __________."	power-driven	showing lights or shapes for a vessel restricted in its ability to maneuver	using nets	using fishing apparatus which restricts maneuverability	
1	4835	B	"BOTH INTERNATIONAL & INLAND The word ""vessel"", in the Rules, includes __________."	a barge permanently affixed to the shore	nondisplacement craft	a drilling unit attached to the Outer Continental Shelf	All of the above	
1	4836	D	"BOTH INTERNATIONAL & INLAND Which vessel is, by definition, unable to keep out of the way of another vessel?"	Vessel engaged in fishing	Vessel not making way	Vessel sailing	Vessel restricted in her ability to maneuver	
1	4837	B	"BOTH INTERNATIONAL & INLAND A vessel ""restricted in her ability to maneuver"" is one which __________."	through some exceptional circumstance is unable to  maneuver as required by the Rules	from the nature of her work is unable to maneuver as required by the Rules	due to adverse weather conditions is unable to maneuver as required by the Rules	has lost steering and is unable to maneuver	
1	4838	D	"BOTH INTERNATIONAL & INLAND What determines if a vessel is  ""restricted in her ability to maneuver""?"	Whether or not all of the vessel's control equipment is in working order	The vessel's draft in relation to the available depth of water	Whether the vessel is operating in a narrow channel	"The nature of the vessel's work, limiting maneuverability required by the Rules"	
1	4839	B	"BOTH INTERNATIONAL & INLAND  A vessel is considered to be ""restricted in her ability to maneuver"" under the Rules if  she is __________."	at anchor	mineclearing	engaged in fishing	engaged in towing	
1	4841	A	BOTH INTERNATIONAL & INLAND A vessel transferring cargo while underway is classified by the Rules as a vessel __________.	restricted in her ability to maneuver	in special circumstances	not under command	constrained by her draft	
1	4842	B	"BOTH INTERNATIONAL & INLAND  Which vessel is ""underway"" according to the Rules?"	A vessel made fast to a single point mooring buoy	"A vessel engaged in towing, not making way"	A pilot vessel at anchor	A vessel which has run aground	
1	4843	C	"BOTH INTERNATIONAL & INLAND According to the Rules, a vessels length is her __________."	length between the perpendiculars	length along the waterline	length overall	registered length	
1	4844	C	"BOTH INTERNATIONAL & INLAND  What does the word ""breadth"" mean in the Rules?"	Breadth on the uppermost continuous deck	Molded breadth	Greatest breadth	Breadth at the load waterline	
1	4845	C	BOTH INTERNATIONAL & INLAND What represents the length of a vessel as defined by the Rules?	A	B	C	D	DIAGRAM_86
1	4846	C	"BOTH INTERNATIONAL & INLAND In determining ""safe speed"", the Rules list all of the following as factors which must be taken into account EXCEPT the __________."	limitations of radar equipment	presence of background lights at night	maximum horsepower of your vessel	maneuverability of your vessel	
1	4847	C	BOTH INTERNATIONAL & INLAND The rules require which factor  to be taken into account when determining safe speed?	The construction of the vessel	The experience of the vessel's crew	The location of vessels detected by radar	All of the above	
1	4848	D	BOTH INTERNATIONAL & INLAND The Rules state that certain factors are to be taken into account when determining safe speed.  One of the factors is the __________.	radio communications that are available	maximum speed of your vessel	temperature	current	
1	4849	D	"BOTH INTERNATIONAL & INLAND ""safe speed"" is defined as that speed where __________."	you can stop within your visibility range	the vessel is not subject to vibrations	you are traveling slower than surrounding vessels	you can take proper and effective action to avoid collision	
1	4850	C	BOTH INTERNATIONAL & INLAND  The Rules state that risk of collision shall be deemed to exist __________.	whenever two vessels are on opposite courses	whenever a vessel crosses ahead of the intended track of another vessel	if the bearing of an approaching vessel does not appreciably change	if one vessel approaches another so as to be overtaking	
1	4851	C	BOTH INTERNATIONAL & INLAND.  In which situation would you  consider a risk of collision to exist?	"A vessel is one point on your starboard bow, range  increasing, bearing changing slightly to the right."	"A vessel is broad on your starboard beam, range decreasing, bearing changing rapidly to the right."	"A vessel is two points abaft your port beam, range  decreasing, bearing constant."	"A vessel is on your starboard quarter, range increasing, bearing is constant."	
1	4852	B	BOTH INTERNATIONAL & INLAND  What is TRUE when operating in fog and other vessels are detected by radar?	You should make an ample change to port for a vessel crossing on the starboard bow.	You should maneuver in ample time if a close-quarters situation is developing.	You should determine the course and speed of all radar contacts at six minute intervals.	Long-range scanning will provide early warning of ALL other vessels within the radar's range.	
1	4853	D	BOTH INTERNATIONAL & INLAND You are approaching another vessel on crossing courses.  She is about one mile distant  and is on your starboard bow.  You believe she will cross ahead of you but she sounds a whistle signal of five short  blasts.  You should __________.	answer the signal and hold course and speed	reduce speed slightly	initiate a passing signal that will allow for a half mile clearance	"make a large course change, and slow down if necessary"	
1	4854	B	BOTH INTERNATIONAL & INLAND You are approaching another vessel on crossing courses.  She is approximately half a mile distant on your starboard bow.  You believe she will cross ahead of you but she sounds a whistle signal of five  short blasts.  You should __________.	sound a signal of one prolonged blast	make a large course change	reduce speed slightly to make sure she will have room to pass	wait for another whistle signal from the other vessel	
1	4855	B	"BOTH INTERNATIONAL & INLAND  Under the Rules, any vessel may slacken her speed, stop, or reverse her engines to  __________."	create a crossing situation	allow more time to assess the situation	attract the attention of another vessel	All of the above	
1	4856	B	"BOTH INTERNATIONAL & INLAND When in sight of another vessel and there is sufficient sea room, any action taken to avoid collision must __________."	be accompanied by sound signals	not result in another close quarters situation	include a speed change	All of the above
1	4857	A	BOTH INTERNATIONAL & INLAND  A vessel approaching a narrow  channel shall __________.	avoid crossing the channel if it impedes another vessel navigating in the channel	not overtake any vessels within the channel	keep as close as possible to the edge of the channel on her port side	anchor only in the middle of the channel
1	4858	D	"BOTH INTERNATIONAL & INLAND  When underway in a channel, you should if safe and practicable __________."	stay near the middle of the channel	keep to the starboard side of any vessels you meet	exchange whistle signals with any other vessels in the channel	keep to the side of the channel which lies to your starboard
1	4859	C	BOTH INTERNATIONAL & INLAND  A sailing vessel is proceeding along a narrow channel and can safely navigate ONLY inside  the channel.  The sailing vessel approaches a vessel engaged in fishing in the narrow channel.  Which statement is TRUE?	Each vessel should move to the edge of the channel on her port side.	The vessels are required to exchange signals.	The fishing vessel is directed not to impede the passage of the sailing vessel.	Each vessel should be displaying signals for a vessel constrained by her draft.
1	4860	A	BOTH INTERNATIONAL & INLAND  A vessel engaged in  mineclearance operations shows special identity lights __________.	in addition to the lights required for a power-driven vessel	which means that other vessels should not approach closer than 500 meters on either side of the vessel	that are green and show through an arc of the horizon of 225°	All of the above
1	4861	C	"BOTH INTERNATIONAL & INLAND When navigating in thick fog with the radar on, you should __________."	station the look-out in the wheelhouse to keep a continuous watch on the radar	secure the sounding of fog signals until a vessel closes within five miles	station a look-out as low down and far forward as possible	keep the radar on the shortest available range for early detection of approaching vessels
1	4862	A	BOTH INTERNATIONAL & INLAND You are underway in thick fog.  You have not determined if risk of collision exists. Which statement is TRUE?	Your speed must be reduced to bare steerageway.	A look-out is not required if the radar is on.	Fog signals are only required when a vessel is detected by radar.	The radar should always be kept on a short-range scale.
1	4863	B	BOTH INTERNATIONAL & INLAND A sailing vessel is proceeding  along a narrow channel and can safely navigate ONLY inside  the channel.  The sailing vessel approaches a vessel engaged in fishing.  Which statement is TRUE?	The fishing vessel must sound the danger signal.	The fishing vessel shall not impede the passage of the sailing vessel.	Each vessel should move to the edge of the channel on her port side.	Both vessels should be displaying the signal for a vessel restricted in her ability to maneuver.
1	4864	B	BOTH INTERNATIONAL & INLAND Which vessel shall NOT impede the passage of a vessel which can safely navigate only within a narrow channel or fairway?	A vessel dredging	A sailing vessel	A vessel servicing an aid to navigation	All of the above
1	4865	C	BOTH INTERNATIONAL & INLAND  Your 15-meter vessel is crossing a narrow channel and a large cargo vessel to starboard is within the channel and crossing your course. You should __________.	hold your course and speed	sound the danger signal	keep out of the way of the cargo vessel	do not cross the channel
1	4866	B	"BOTH INTERNATIONAL & INLAND If two sailing vessels are running free with the wind on the same side, which one must keep clear of the other?"	The one with the wind closest abeam	The one to windward	The one to leeward	The one that sounds the first whistle signal
1	4868	B	BOTH INTERNATIONAL & INLAND Which statement is TRUE concerning two sailing vessels approaching each other?	The vessel making the most speed is the give-way vessel.	A sailing vessel overtaking another is the give-way vessel.	A sailing vessel seeing another to leeward on an undetermined tack shall hold her course.	All of the above
1	4869	C	BOTH INTERNATIONAL & INLAND  Power-driven vessels must keep out of the way of sailing vessels except __________.	in a crossing situation	when they are making more speed than the power-driven vessel	when the sailing vessel is overtaking	on the Inland Waters of the United States
1	4870	C	BOTH INTERNATIONAL & INLAND  When do the Rules require both vessels to change course?	Any time the danger signal is sounded	When two power-driven vessels are crossing and it is apparent to the stand-on vessel that the give-way vessel is not taking appropriate action	When two power-driven vessels are meeting head-on	All of the above
1	4871	A	"BOTH INTERNATIONAL & INLAND Your vessel is NOT making way,  but is not in any way disabled.  Another vessel is  approaching you on your starboard beam.  Which statement is TRUE?"	Your vessel is obligated to stay out of the way.	"The other vessel must give way, since your vessel is stopped."	You should be showing the lights or shapes for a vessel not under command.	You should be showing the lights or shapes for a vessel restricted in her ability to maneuver.
1	4872	C	"BOTH INTERNATIONAL & INLAND If you are the stand-on vessel  in a crossing situation, you may take action to avoid collision by your maneuver alone.  When may this action be  taken?"	As soon as you determine that risk of collision exists	Only when you have reached extremis	When it becomes apparent to you that the give-way vessel is not taking appropriate action	When you determine that your present course will cross ahead of the other vessel
1	4873	C	"BOTH INTERNATIONAL & INLAND  In a crossing situation on open waters, a sailing vessel shall keep out of the way of all the following vessels EXCEPT a vessel __________."	not under command	restricted in her ability to maneuver	engaged in towing	fishing
1	4874	D	"BOTH INTERNATIONAL & INLAND What would be a ""special circumstance"" under the Rules?"	Vessel at anchor	Two vessels meeting	Speed in fog	More than two vessels crossing
1	4875	A	"BOTH INTERNATIONAL & INLAND In restricted visibility, a vessel being towed, if manned, shall sound a signal of __________."	one prolonged and three short blasts	one prolonged and two short blasts	three short blasts	two short blasts
1	4876	B	BOTH INTERNATIONAL & INLAND You are approaching a narrow channel.  Another vessel in the channel can only be navigated safely in that channel.  You should __________.	sound two prolonged blasts followed by one short blast	not cross the channel if you might impede the other vessel	"sound three short blasts, and take all way off your vessel"	hold your course and speed if he is on your port bow
1	4877	C	"BOTH INTERNATIONAL & INLAND  You are the stand-on vessel in a crossing situation.  If you think the give-way vessel is  NOT taking sufficient action to avoid collision, you should sound __________."	one short blast and maintain course	"two short blasts, alter to port, and pass astern"	the danger signal	no signal and maneuver at will
1	5000	A	"BOTH INTERNATIONAL & INLAND While underway in fog, you hear a vessel ahead sound two prolonged blasts on the whistle. You should __________."	sound only fog signals until the other vessel is sighted	not sound any whistle signals until the other vessel is sighted	sound two blasts and change course to the left	sound whistle signals only if you change course
1	5100	C	BOTH INTERNATIONAL & INLAND Lighting requirements in inland waters are different from those for international waters for __________.	barges being towed astern	vessels not under command	vessels pushing ahead	All of the above
1	5150	C	"BOTH INTERNATIONAL & INLAND There are two classes of vessels which do not have to comply with the rule regarding traffic separation schemes, to the extent necessary to carry out their work.  One of those is a vessel __________."	engaged in fishing	towing another	servicing a navigational aid	on pilotage duty
1	5200	C	"BOTH INTERNATIONAL & INLAND In a traffic separation scheme, when joining a traffic lane from the side, a vessel shall do so __________."	only in case of an emergency or to engage in fishing within the zone	as nearly as practical at right angles to the general direction of traffic flow	at as small an angle as possible	only to anchor within the zone
1	5300	B	BOTH INTERNATIONAL & INLAND A traffic separation zone is that part of a traffic separation scheme which __________.	is located between the scheme and the nearest land	separates traffic proceeding in one direction from traffic  proceeding in the opposite direction	is designated as an anchorage area	contains all the traffic moving in the same direction
1	5350	A	BOTH INTERNATIONAL & INLAND A vessel using a traffic separation scheme shall __________.	avoid anchoring in areas near the termination of the scheme	"avoid crossing traffic lanes, but if obliged to do so, shall cross on as small an angle as is practical"	only anchor in the separation zone	use the separation zone for navigating through the scheme if she is hindering other traffic due to her slower speed
1	5400	C	BOTH INTERNATIONAL & INLAND A vessel using a traffic separation scheme shall NOT __________.	cross a traffic lane	engage in fishing the separation zone	proceed in an inappropriate traffic lane	enter the separation zone
1	5500	C	BOTH INTERNATIONAL & INLAND A vessel using a traffic separation scheme shall __________.	only anchor  in the separation zone	"avoid crossing traffic lanes, but if obliged to do so, shall cross on a heading at as small an angle as is practical"	avoid anchoring in areas near the termination of the scheme	use the separation zone for navigation through the scheme if she is hindering other traffic due to her slower speed
1	6000	B	"BOTH INTERNATIONAL & INLAND While underway in fog, you hear a vessel ahead sound two prolonged blasts on the whistle. You should __________."	sound two blasts and change course to the left	sound only fog signals until the other vessel is sighted	sound whistle signals only if you change course	not sound any whistle signals until the other vessel is sighted
1	6500	D	"BOTH INTERNATIONAL & INLAND  A towing vessel and her tow are severely restricted in their ability to change course. When making way, the towing vessel will show ONLY __________."	the masthead lights for a towing vessel	the lights for a vessel restricted in her ability to maneuver	"sidelights, stern light, and towing light"	All of the above.
1	6510	A	BOTH INTERNATIONAL & INLAND  You hear the fog signal of another vessel forward of your beam.  Risk of collision may exist. You MUST __________.	"take all way off, if necessary"	stop your engines	begin a radar plot	All of the above
1	6520	B	"BOTH INTERNATIONAL & INLAND A fog signal of one short, one  prolonged, and one short blast may be sounded by a __________."	vessel not under command	vessel at anchor	vessel towing	All of the above
1	6530	B	BOTH INTERNATIONAL & INLAND  You hear the fog signal of another vessel forward of your beam.  Risk of collision may exist. You MUST __________.	stop your engines	"take all way off, if necessary"	begin a radar plot	All of the above
1	6540	D	BOTH INTERNATIONAL & INLAND A vessel may enter a traffic separation zone __________.	in an emergency	to engage in fishing within the zone	to cross the traffic separation scheme	All of the above
1	6550	A	"BOTH INTERNATIONAL & INLAND In a traffic separation scheme, when joining a traffic lane from the side, a vessel shall do so __________."	at as small an angle as possible	as nearly as practical at right angles to the general direction of traffic flow	only in case of an emergency or to engage in fishing within the zone	never
1	6560	A	BOTH INTERNATIONAL & INLAND A vessel using a traffic separation scheme is forbidden to __________.	proceed through an inappropriate traffic lane	engaged in fishing in the separation zone	cross a traffic lane	"enter the separation zone, even in a emergency"
1	6570	D	BOTH INTERNATIONAL & INLAND A traffic separation zone is that part of a traffic separation scheme which  __________.	is between the scheme and the nearest land	contains all the traffic moving in one direction	is designated as an anchorage area	separates traffic proceeding in one direction from traffic  proceeding in the opposite direction
1	8000	A	"INTERNATIONAL ONLY To indicate that a vessel is constrained by her draft, a vessel may display, in a vertical line, __________."	three 360° red lights	two 225° red lights	three 360° blue lights	two 225° blue lights
1	8001	C	"INTERNATIONAL ONLY  In addition to other required lights, a power-driven vessel pushing ahead or towing alongside displays __________."	two all-round red lights in a vertical line	two yellow towing lights in a vertical line	two white masthead lights in a vertical line	"two lights on the stern, one yellow and one white"
1	8002	A	"INTERNATIONAL ONLY Which statement is true concerning a vessel ""constrained by her draft""?"	She must be a power-driven vessel.	She is not under command.	She may be a vessel being towed.	She is hampered because of her work.
1	8004	D	"INTERNATIONAL ONLY When moving from a berth alongside a quay (wharf), a vessel must sound __________."	three short blasts	a long blast	a prolonged blast	No signal is required.
1	8005	B	"INTERNATIONAL ONLY You are in charge of a 250-meter freight vessel constrained by her draft proceeding down a narrow channel.  There is a vessel engaged in fishing on your starboard bow half a mile away. According to Rule 9, which statement is TRUE?"	You are not to impede the fishing vessel.	If you are in doubt as to the fishing vessel's intentions you may sound at least five short and rapid blasts on the whistle.	You are to slow to bare steerageway until clear of the fishing vessel.	You must sound one prolonged blast to alert the fishing vessel.
1	8006	D	INTERNATIONAL ONLY The International Rules of the Road apply __________.	to all waters which are not inland waters	only to waters outside the territorial waters of the United States	only to waters where foreign vessels travel	upon the high seas and connecting waters navigable by seagoing vessels
1	8007	C	INTERNATIONAL ONLY A towing light is __________.	shown at the bow	white in color	shown in addition to the stern light	an all-round light
1	8008	D	"INTERNATIONAL ONLY In a narrow channel, an overtaking vessel which intends to pass on the other vessel's port side would sound __________."	one prolonged followed by two short blasts	one short blast	two short blasts	two prolonged followed by two short blasts
1	8009	D	INTERNATIONAL ONLY You are underway on the high seas in restricted visibility.  You hear a fog signal of one prolonged and two short blasts.  It could be any of the following EXCEPT a vessel __________.	minesweeping	engaged in fishing	constrained by her draft	being towed
1	8010	D	INTERNATIONAL ONLY A vessel displaying three red lights in a vertical line is __________.	not under command	aground	dredging	constrained by her draft
1	8011	D	"INTERNATIONAL ONLY At night, a power-driven vessel underway of less than 7 meters in length where its maximum speed does not exceed 7 knots may show, as a minimum, __________."	sidelights and a stern light	the lights required for a vessel more than 7 meters in length	sidelights only	one all-round white light
1	8012	C	"INTERNATIONAL ONLY In a narrow channel, a signal of intent  which must be answered by the other vessel, is sounded by a vessel __________."	meeting another head-on	crossing the course of another	overtaking another	Any of the above
1	8013	B	"INTERNATIONAL ONLY When two vessels are in sight of one another, all of the following signals may be given EXCEPT __________."	a light signal of at least five short and rapid flashes	four short whistle blasts	"one prolonged, one short, one prolonged and one short whistle blasts"	two short whistle blasts
1	8014	D	INTERNATIONAL ONLY A power-driven vessel leaving a quay or  wharf must sound what signal?	Three short blasts	A long blast	A prolonged blast	No signal is required.
1	8016	D	"INTERNATIONAL ONLY What whistle signal, if any, would be sounded when two vessels are meeting, but will pass clear starboard to starboard?"	One short blast	Two short blasts	Five or more short blasts	No signal is required.
1	8017	D	"INTERNATIONAL ONLY In a narrow channel, a vessel trying to  overtake another on the other vessel's port side, would sound a whistle signal of __________."	one short blast	two short blasts	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts
1	8018	B	"INTERNATIONAL ONLY On open water, a power-driven vessel coming up dead astern of another vessel and altering her course to starboard so as to pass on the starboard side of  the vessel ahead would sound __________."	two short blasts	one short blast	two prolonged blasts followed by one short blast	one long and one short blast
1	8019	B	"INTERNATIONAL ONLY  If a vessel displays three all-round red lights in a vertical line at night, during the day she may  show __________."	three balls in a vertical line	a cylinder	two diamonds in a vertical line	"two cones, apexes together"
1	8020	D	INTERNATIONAL ONLY A vessel not under command sounds the same fog signal as a vessel __________.	towing	constrained by her draft	under sail	All of the above
1	8021	D	INTERNATIONAL ONLY Your vessel is crossing a narrow channel. A vessel to port is within the channel and crossing your course.  She is showing a black cylinder.  What is your responsibility?	Hold your course and speed.	Sound the danger signal.	Begin an exchange of passing signals.	Do not cross the channel if you might impede the other vessel.
1	8022	B	INTERNATIONAL ONLY You are approaching another vessel and will pass starboard to starboard without danger if no course changes are made.  You should __________.	hold course and sound a two blast whistle signal	hold course and sound no whistle signal	change course to the right and sound one blast	hold course and sound two prolonged and two short blasts
1	8023	A	BOTH INTERNATIONAL & INLAND A fishing vessel is approaching a vessel not under command.  Which statement is TRUE?	The fishing vessel must keep clear of the vessel not under  command.	"If the vessel not under command is a power-driven vessel, she must keep clear of the fishing vessel."	They must exchange whistle signals.	Both vessels are required to take action to stay clear of each other.
1	8024	A	INTERNATIONAL ONLY Which signal is required to be sounded by a power-driven vessel ONLY?	"A signal meaning, ""I am altering my course to starboard."""	"A signal meaning, ""I intend to overtake you on your starboard side."""	A signal meaning that the vessel sounding it is in doubt as to the other vessel's actions.	A signal sounded when approaching a bend.
1	8025	D	INTERNATIONAL ONLY The light which may be used with a vessel's whistle is to be __________.	used when the whistle is broken	used prior to sounding the whistle	used only at night	a white light
1	8026	D	"INTERNATIONAL ONLY You are in sight of another vessel in a  crossing situation, and the other vessel sounds one short blast.  You are going to hold course and speed.  You should __________."	answer with one short blast	answer with two short blasts	sound the danger signal	sound no whistle signal
1	8027	D	INTERNATIONAL ONLY Two prolonged blasts followed by one short blast on the whistle is a signal which could be sounded by a __________.	fishing vessel	vessel anchored	mineclearing vessel	vessel overtaking another in a narrow channel
1	8028	B	"INTERNATIONAL ONLY In a crossing situation on international waters, a short blast by the give-way vessel indicates that the vessel __________."	is holding course and speed	is turning to starboard	intends to pass port to port	will keep out of the way of the stand-on vessel	
1	8029	D	INTERNATIONAL ONLY What day-shape is prescribed for a vessel constrained by her draft?	"A black cone, apex upward"	"A black cone, apex downward"	Two vertical black balls	A cylinder	
1	8030	D	INTERNATIONAL ONLY A vessel not under command sounds the same fog signal as a vessel __________.	engaged in towing	constrained by her draft	under sail	All of the above	
1	8031	B	INTERNATIONAL ONLY Which statement(s) is(are) TRUE concerning light signals?	The time between flashes shall be about five seconds.	The time between successive signals shall be not less than  ten seconds.	The light signals are to be used when not using sound signals.	All of the above	
1	8032	B	INTERNATIONAL ONLY Under what circumstances would an overtaking vessel sound a whistle signal of two prolonged followed by one short blast?	When overtaking in restricted visibility	When overtaking in a narrow channel	When overtaking on open waters	When no other vessels are in the immediate area	
1	8038	B	INTERNATIONAL ONLY In which case would an overtaking vessel sound a whistle signal of two prolonged followed by one short blast?	When overtaking in restricted visibility	When overtaking in a narrow channel	When overtaking on open waters	When no other vessels are in the immediate area	
1	8039	B	"INTERNATIONAL ONLY When vessels are in sight of one another, two short blasts from one of the vessels means __________."	"""I am altering my course to starboard"""	"""I am altering my course to port"""	"""I intend to change course to starboard"""	"""I intend to change course to port"""	
1	8040	A	INTERNATIONAL ONLY Which vessel may NOT exhibit two red lights in a vertical line?	A vessel constrained by her draft	A trawler fishing in close proximity to other trawlers	A vessel aground	A dredge	
1	8041	D	"INTERNATIONAL ONLY Vessel ""A"" is overtaking vessel ""B"" on open waters and will pass without changing course.  Vessel  ""A"" __________."	should sound two short blasts	should sound the danger signal	should sound one long blast	will not sound any whistle signals	
1	8042	C	"INTERNATIONAL ONLY Of the vessels listed, which must keep out of the way of all the others?"	A vessel constrained by her draft	A vessel restricted in her ability to maneuver	A vessel on pilotage duty	A vessel engaged in fishing	
1	8043	C	INTERNATIONAL ONLY Which vessel would NOT sound a fog signal of one prolonged and two short blasts?	A vessel not under command	A vessel constrained by her draft	A vessel being towed	A vessel sailing	
1	8044	B	"INTERNATIONAL ONLY In international waters, you are on Vessel ""I"" in the situation as shown.  Vessel ""II"" sounds one short blast.  Which action should you take?"	Sound one short blast and hold course and speed.	Hold course and speed	Sound one short blast and slow down or turn to starboard.	"Sound two short blasts, slow down and turn to port"	DIAGRAM_36
1	8045	D	"INTERNATIONAL ONLY You intend to overtake a vessel in a narrow channel, and you intend to pass along the vessel's port side.  How should you signal your intention?"	No signal is necessary.	Two prolonged blasts	Two short blasts	Two prolonged followed by two short blasts	
1	8046	C	INTERNATIONAL ONLY A vessel sounds two short blasts.  This  signal indicates the vessel __________.	intends to alter course to port	intends to pass starboard to starboard	is altering course to port	will alter course to port	
1	8047	C	INTERNATIONAL ONLY A vessel sounds one short blast.  This signal indicates the vessel __________.	intends to alter course to starboard	intends to pass starboard to starboard	is altering course to starboard	intends to pass port to port	
1	8048	D	"INTERNATIONAL ONLY You are underway in a narrow channel, and you are being overtaken by a vessel astern.  After the overtaking vessel sounds the proper signal indicating his intention to pass your vessel on your starboard side, you signal your agreement by sounding __________."	one short blast	two prolonged blasts	two prolonged followed by two short blasts	"one prolonged, one short, one prolonged, and one short blast in that order"	
1	8050	D	"INTERNATIONAL ONLY A sailing vessel is overtaking a power-driven vessel in a narrow channel, so as to pass on the power-driven vessel's port side.  The overtaken vessel  will have to move to facilitate passage.  The sailing vessel is the __________."	stand-on vessel and would sound two short blasts	give-way vessel and would sound no whistle signal	stand-on vessel and would sound no whistle signal	give-way vessel and would sound two prolonged blasts followed by two short blasts	
1	8051	A	INTERNATIONAL ONLY A vessel constrained by her draft may display __________.	three all-round red lights	two 225° red lights	three all-round blue lights	two 225° blue lights	
1	8052	D	INTERNATIONAL ONLY Two power-driven vessels are meeting.  A two blast whistle signal by either vessel means __________.	"""I intend to alter course to port"""	"""I desire to pass starboard to starboard"""	"""I desire to pass port to port"""	"""I am altering course to port"""	
1	8053	B	INTERNATIONAL ONLY A 20-meter power-driven vessel pushing ahead or towing alongside will display __________.	a single white light forward	two masthead lights in a vertical line	two towing lights in a vertical line	two all-round red lights where they can best be seen	
1	8054	A	"INTERNATIONAL ONLY Which statement applies to a vessel ""constrained by her draft""?"	She is severely restricted in her ability to change her course because of her draft in relation to the available depth of water.	The term applies only to vessels in marked channels.	"She is designated as a ""vessel restricted in her ability to maneuver""."	The vessel must be over 100 meters in length.	
1	8056	C	"INTERNATIONAL ONLY A whistle signal of one prolonged, one short, one prolonged and one short blast, is sounded by a vessel __________."	at anchor	towing a submerged object	being overtaken in a narrow channel	in distress	
1	8057	A	INTERNATIONAL ONLY Your vessel is backing out of a slip in a harbor and you can see that other vessels are approaching.  You should sound __________.	three short blasts when leaving the slip	one prolonged blast followed by three short blasts when the last line is taken aboard	one prolonged blast only	the danger signal	
1	8058	C	INTERNATIONAL ONLY Which vessel is to keep out of the way of the others?	A vessel constrained by her draft	A vessel engaged in underwater operations	A vessel engaged in trawling	A vessel not under command	
1	8059	A	INTERNATIONAL ONLY You are in sight of a power-driven vessel that sounds two short blasts of the whistle.  This signal means that the vessel __________.	is altering course to port	is altering course to starboard	intends to leave you on her port side	intends to leave you on her starboard side	
1	8060	A	"INTERNATIONAL ONLY You are operating a vessel in a narrow channel.  Your vessel must stay within the channel to be navigated safely.  Another vessel is crossing your course from starboard to port, and you are in doubt as to his intentions.  According to Rule 9, you __________."	may sound the danger signal	must sound one prolonged and two short blasts	should sound one short blast to indicate that you are holding course and speed	are required to back down	
1	8061	D	"INTERNATIONAL ONLY Vessel ""A"" is overtaking vessel ""B"" on open waters as shown and will pass without changing course.  Vessel ""A"" __________."	should sound two short blasts	should sound the danger signal	should sound one long blast	need not sound any whistle signals	DIAGRAM_17
1	8062	B	"INTERNATIONAL ONLY If you sighted three red lights in a vertical line on another vessel at night, it would be a vessel __________."	aground	constrained by her draft	dredging	moored over a wreck	
1	8063	D	INTERNATIONAL ONLY On open water two vessels are in an overtaking situation.  The overtaking vessel has just sounded one short blast on the whistle.  What is the meaning of this whistle signal?	"""I request permission to pass you on my port side."""	"""I will maintain course and speed and pass you on your starboard side."""	"""On which side should I pass?"""	"""I am changing course to starboard."""	
1	8064	D	INTERNATIONAL ONLY You are underway in fog and hear a fog signal consisting of one prolonged and two short blasts.  It could be any of the following EXCEPT a vessel __________.	engaged in mineclearance	engaged in fishing	constrained by her draft	being towed	
1	8067	B	INTERNATIONAL ONLY Which vessel shall avoid impeding the safe passage of a vessel constrained by her draft?	A vessel not under command	A fishing vessel	A vessel restricted in her ability to maneuver	All of the above	
1	8068	D	"INTERNATIONAL ONLY A signal of one prolonged, one short, one prolonged, and one short blast, in that order is given by a vessel __________."	engaged on pilotage duty	in distress	at anchor	being overtaken in a narrow channel	
1	8069	C	INTERNATIONAL ONLY Which signal is sounded ONLY by a vessel in sight of another and NOT in or near an area of restricted visibility?	Four short blasts on the whistle	One prolonged blast on the whistle	One short blast on the whistle	"One short, one prolonged, and one short blast on the whistle"	
1	8070	D	"INTERNATIONAL ONLY In addition to her running lights, an underway vessel constrained by her draft may carry in a vertical line __________."	"a red light, a white light, and a red light"	two red lights	two white lights	three red lights	
1	8071	D	"INTERNATIONAL ONLY Which vessel is NOT regarded as being ""restricted in her ability to maneuver""?"	A vessel servicing an aid to navigation	A vessel engaged in dredging	A towing vessel with tow unable to deviate from its course	A vessel constrained by her draft	
1	8072	C	"INTERNATIONAL ONLY When two vessels are in sight of one another and NOT in or near an area of restricted visibility, any of the following signals may be given EXCEPT __________."	a light signal of at least five short and rapid flashes	"one prolonged, one short, one prolonged, and one short whistle blasts"	four short whistle blasts	two short whistle blasts	
1	8073	C	"INTERNATIONAL ONLY In a narrow channel, an overtaking vessel which intends to PASS on the other vessel's port side would sound __________."	one prolonged followed by two short blasts	one short blast	two prolonged followed by two short blasts	two short blasts	
1	8074	A	INTERNATIONAL ONLY Two prolonged blasts followed by one short blast on the whistle is a signal which would be sounded by a vessel __________.	overtaking another in a narrow channel	anchored	engaged in mineclearance	engaged in fishing	
1	8075	B	"INTERNATIONAL ONLY You intend to overtake a vessel in a narrow channel, and you intend to pass along the vessel's port side.  How should you signal your intention?"	Two short blasts followed by two prolonged blasts	Two prolonged followed by two short blasts	Two prolonged blasts only	Two short blasts only	
